"subject"	"activity_labels"	"Mean"
"159"	2	"WALKING"	0.00724731900692053
"160"	4	"WALKING"	-0.0114505456703785
"161"	9	"WALKING"	-0.0192385623990972
"162"	10	"WALKING"	-0.0483049836528912
"163"	12	"WALKING"	-0.0314264021147187
"164"	13	"WALKING"	-0.0466163247099502
"165"	1	"WALKING_DOWNSTAIRS"	0.179340680892857
"166"	3	"WALKING_DOWNSTAIRS"	0.0901681361753959
"167"	5	"WALKING_DOWNSTAIRS"	0.0637174296254967
"168"	6	"WALKING_DOWNSTAIRS"	0.0281588774898154
"169"	7	"WALKING_DOWNSTAIRS"	0.0468844162444156
"170"	8	"WALKING_DOWNSTAIRS"	0.0502136385470588
"171"	1	"WALKING_UPSTAIRS"	0.0308872103056426
"172"	13	"WALKING_UPSTAIRS"	0.0234227803698413
"173"	18	"WALKING_UPSTAIRS"	-0.0220049924447802
"174"	20	"WALKING_UPSTAIRS"	-0.0529522711873164
"175"	24	"WALKING_UPSTAIRS"	-0.028355822032021
"176"	25	"LAYING"	-0.965333525820895
"177"	26	"LAYING"	-0.964123305
"178"	27	"LAYING"	-0.967610928484043
"179"	28	"LAYING"	-0.937724149502618
"180"	29	"LAYING"	-0.933471772918605
"181"	30	"LAYING"	-0.932862698053264
"182"	8	"SITTING"	-0.948049906815642
"183"	11	"SITTING"	-0.93363880161076
"184"	14	"SITTING"	-0.942921453343653
"185"	15	"SITTING"	-0.939074489402439
"186"	16	"SITTING"	-0.939146958060109
"187"	17	"SITTING"	-0.934081605743396
"188"	17	"STANDING"	-0.931711600776699
"189"	19	"STANDING"	-0.920370580158333
"190"	21	"STANDING"	-0.937948888627451
"191"	22	"STANDING"	-0.960512149813084
"192"	23	"STANDING"	-0.943357081209677
"193"	25	"STANDING"	-0.94221945997076
"194"	2	"WALKING"	-0.262072745496887
"195"	4	"WALKING"	-0.259770295846593
"196"	9	"WALKING"	-0.257213238370139
"197"	10	"WALKING"	-0.291102447531633
"198"	12	"WALKING"	-0.300571546492187
"199"	13	"WALKING"	-0.270418089389055
"200"	1	"WALKING_DOWNSTAIRS"	-0.229358840464286
"201"	3	"WALKING_DOWNSTAIRS"	-0.156399239127419
"202"	5	"WALKING_DOWNSTAIRS"	-0.194927391033709
"203"	6	"WALKING_DOWNSTAIRS"	-0.220577998749385
"204"	7	"WALKING_DOWNSTAIRS"	-0.192542958448052
"205"	8	"WALKING_DOWNSTAIRS"	-0.182919573534314
"206"	1	"WALKING_UPSTAIRS"	-0.163980844788777
"207"	13	"WALKING_UPSTAIRS"	-0.19005511405
"208"	18	"WALKING_UPSTAIRS"	-0.24396214395989
"209"	20	"WALKING_UPSTAIRS"	-0.182796903371469
"210"	24	"WALKING_UPSTAIRS"	-0.107940103662992
"211"	25	"LAYING"	-0.974511325970149
"212"	26	"LAYING"	-0.968743780285714
"213"	27	"LAYING"	-0.966875533670213
"214"	28	"LAYING"	-0.952949564659686
"215"	29	"LAYING"	-0.959203641267442
"216"	30	"LAYING"	-0.966744194699739
"217"	8	"SITTING"	-0.987060008268156
"218"	11	"SITTING"	-0.986431130443038
"219"	14	"SITTING"	-0.98705208993808
"220"	15	"SITTING"	-0.984261883140244
"221"	16	"SITTING"	-0.983570633005464
"222"	17	"SITTING"	-0.984163918716981
"223"	17	"STANDING"	-0.986279034466019
"224"	19	"STANDING"	-0.983821357916667
"225"	21	"STANDING"	-0.985301278161765
"226"	22	"STANDING"	-0.991890045950156
"227"	23	"STANDING"	-0.987676781102151
"228"	25	"STANDING"	-0.988405702865497
"229"	2	"WALKING"	-0.342760413810596
"230"	4	"WALKING"	-0.347600947997476
"231"	9	"WALKING"	-0.348550467265625
"232"	10	"WALKING"	-0.339479815179252
"233"	12	"WALKING"	-0.379241823329375
"234"	13	"WALKING"	-0.35672900240796
"235"	1	"WALKING_DOWNSTAIRS"	0.00562760405
"236"	3	"WALKING_DOWNSTAIRS"	-0.00856714040645161
"237"	5	"WALKING_DOWNSTAIRS"	0.0396789691115894
"238"	6	"WALKING_DOWNSTAIRS"	0.0559832839048923
"239"	7	"WALKING_DOWNSTAIRS"	0.0495799873904545
"240"	8	"WALKING_DOWNSTAIRS"	0.0284953252254902
"241"	1	"WALKING_UPSTAIRS"	-0.298154509744514
"242"	13	"WALKING_UPSTAIRS"	-0.272503525806349
"243"	18	"WALKING_UPSTAIRS"	-0.280939344950549
"244"	20	"WALKING_UPSTAIRS"	-0.339152809415254
"245"	24	"WALKING_UPSTAIRS"	-0.28069409707811
"246"	25	"LAYING"	-0.957346085074627
"247"	26	"LAYING"	-0.961016057882653
"248"	27	"LAYING"	-0.962353819893617
"249"	28	"LAYING"	-0.931563547382199
"250"	29	"LAYING"	-0.925612461252907
"251"	30	"LAYING"	-0.935653433887728
"252"	8	"SITTING"	-0.933568843441341
"253"	11	"SITTING"	-0.936512249243671
"254"	14	"SITTING"	-0.93841862269969
"255"	15	"SITTING"	-0.941521957661585
"256"	16	"SITTING"	-0.930120564628415
"257"	17	"SITTING"	-0.927310324301887
"258"	17	"STANDING"	-0.928147625339806
"259"	19	"STANDING"	-0.925925378927778
"260"	21	"STANDING"	-0.92920962221348
"261"	22	"STANDING"	-0.951325484267913
"262"	23	"STANDING"	-0.934596640483871
"263"	25	"STANDING"	-0.932372169619883
"264"	2	"WALKING"	-0.0143154413877483
"265"	4	"WALKING"	-0.0396745149777792
"266"	9	"WALKING"	-0.0510263781725694
"267"	10	"WALKING"	-0.0807594392584476
"268"	12	"WALKING"	-0.0740875831016062
"269"	13	"WALKING"	-0.0821297053568657
"270"	1	"WALKING_DOWNSTAIRS"	0.131567305178571
"271"	3	"WALKING_DOWNSTAIRS"	0.0294633516093842
"272"	5	"WALKING_DOWNSTAIRS"	0.0131153185692053
"273"	6	"WALKING_DOWNSTAIRS"	-0.0316314845801908
"274"	7	"WALKING_DOWNSTAIRS"	-0.00628059780649351
"275"	8	"WALKING_DOWNSTAIRS"	0.00016207345
"276"	1	"WALKING_UPSTAIRS"	0.0253918076943574
"277"	13	"WALKING_UPSTAIRS"	0.00337604646746032
"278"	18	"WALKING_UPSTAIRS"	-0.040300446450989
"279"	20	"WALKING_UPSTAIRS"	-0.0716327303536723
"280"	24	"WALKING_UPSTAIRS"	-0.042397400503937
"281"	25	"LAYING"	-0.965904450746269
"282"	26	"LAYING"	-0.96425631375
"283"	27	"LAYING"	-0.968315134734043
"284"	28	"LAYING"	-0.936542144698953
"285"	29	"LAYING"	-0.931384446991279
"286"	30	"LAYING"	-0.930886528597911
"287"	8	"SITTING"	-0.946621567486034
"288"	11	"SITTING"	-0.931312875379747
"289"	14	"SITTING"	-0.940763018359133
"290"	15	"SITTING"	-0.937126376591463
"291"	16	"SITTING"	-0.936532362912022
"292"	17	"SITTING"	-0.930975965660377
"293"	17	"STANDING"	-0.930261680582524
"294"	19	"STANDING"	-0.917201238925
"295"	21	"STANDING"	-0.936044936078431
"296"	22	"STANDING"	-0.959006679439252
"297"	23	"STANDING"	-0.940717590241935
"298"	25	"STANDING"	-0.940429613918129
"299"	2	"WALKING"	-0.262667820997285
"300"	4	"WALKING"	-0.264428253922397
"301"	9	"WALKING"	-0.265307919871181
"302"	10	"WALKING"	-0.291898189201701
"303"	12	"WALKING"	-0.293719750092812
"304"	13	"WALKING"	-0.261842363632338
"305"	1	"WALKING_DOWNSTAIRS"	-0.258357349428571
"306"	3	"WALKING_DOWNSTAIRS"	-0.187030856069501
"307"	5	"WALKING_DOWNSTAIRS"	-0.221193650530132
"308"	6	"WALKING_DOWNSTAIRS"	-0.243742550850769
"309"	7	"WALKING_DOWNSTAIRS"	-0.209859996709416
"310"	8	"WALKING_DOWNSTAIRS"	-0.196257407523529
"311"	1	"WALKING_UPSTAIRS"	-0.160113217905674
"312"	13	"WALKING_UPSTAIRS"	-0.181463519343651
"313"	18	"WALKING_UPSTAIRS"	-0.235388063972253
"314"	20	"WALKING_UPSTAIRS"	-0.190937365571017
"315"	24	"WALKING_UPSTAIRS"	-0.103955826729612
"316"	25	"LAYING"	-0.910248627761194
"317"	26	"LAYING"	-0.916072995586735
"318"	27	"LAYING"	-0.91333513231383
"319"	28	"LAYING"	-0.905343396282723
"320"	29	"LAYING"	-0.910859146017442
"321"	30	"LAYING"	-0.912511701148825
"322"	8	"SITTING"	-0.931386711452514
"323"	11	"SITTING"	-0.924600593481013
"324"	14	"SITTING"	-0.924325902383901
"325"	15	"SITTING"	-0.926265746615854
"326"	16	"SITTING"	-0.926522258770492
"327"	17	"SITTING"	-0.929733487698113
"328"	17	"STANDING"	-0.917571140194175
"329"	19	"STANDING"	-0.913574439472222
"330"	21	"STANDING"	-0.918254246397059
"331"	22	"STANDING"	-0.930079201962617
"332"	23	"STANDING"	-0.924076519462366
"333"	25	"STANDING"	-0.922734996374269
"334"	2	"WALKING"	-0.0951874161578477
"335"	4	"WALKING"	-0.101104922687697
"336"	9	"WALKING"	-0.100795178997222
"337"	10	"WALKING"	-0.0910179926742857
"338"	12	"WALKING"	-0.148452533108625
"339"	13	"WALKING"	-0.155642332176716
"340"	1	"WALKING_DOWNSTAIRS"	0.457918679392857
"341"	3	"WALKING_DOWNSTAIRS"	0.372334481265777
"342"	5	"WALKING_DOWNSTAIRS"	0.419252391984437
"343"	6	"WALKING_DOWNSTAIRS"	0.440113646635077
"344"	7	"WALKING_DOWNSTAIRS"	0.431660313376623
"345"	8	"WALKING_DOWNSTAIRS"	0.4325973665
"346"	1	"WALKING_UPSTAIRS"	-0.00569838729263323
"347"	13	"WALKING_UPSTAIRS"	-0.0451400065660317
"348"	18	"WALKING_UPSTAIRS"	-0.00840533328631868
"349"	20	"WALKING_UPSTAIRS"	-0.0760309715259887
"350"	24	"WALKING_UPSTAIRS"	0.0375712503648294
"351"	25	"LAYING"	-0.545780284626866
"352"	26	"LAYING"	-0.547915457966837
"353"	27	"LAYING"	-0.546599504537234
"354"	28	"LAYING"	-0.53259648373822
"355"	29	"LAYING"	-0.534185018857558
"356"	30	"LAYING"	-0.544707700887728
"357"	8	"SITTING"	-0.529084841882682
"358"	11	"SITTING"	-0.532471866012658
"359"	14	"SITTING"	-0.53635196498452
"360"	15	"SITTING"	-0.537645758948171
"361"	16	"SITTING"	-0.52780820760929
"362"	17	"SITTING"	-0.523305117316981
"363"	17	"STANDING"	-0.529107936699029
"364"	19	"STANDING"	-0.524476362833333
"365"	21	"STANDING"	-0.527622268607843
"366"	22	"STANDING"	-0.541693834953271
"367"	23	"STANDING"	-0.53330651155914
"368"	25	"STANDING"	-0.530480099561404
"369"	2	"WALKING"	-0.0313958335566225
"370"	4	"WALKING"	-0.0527903923001262
"371"	9	"WALKING"	-0.0521485625678472
"372"	10	"WALKING"	-0.0598313513856463
"373"	12	"WALKING"	-0.0652012650455625
"374"	13	"WALKING"	-0.0494285346654229
"375"	1	"WALKING_DOWNSTAIRS"	0.05864371625
"376"	3	"WALKING_DOWNSTAIRS"	-0.00504326893560117
"377"	5	"WALKING_DOWNSTAIRS"	0.0241284279859272
"378"	6	"WALKING_DOWNSTAIRS"	0.00345056536449231
"379"	7	"WALKING_DOWNSTAIRS"	0.0311104345978896
"380"	8	"WALKING_DOWNSTAIRS"	0.0759575010647059
"381"	1	"WALKING_UPSTAIRS"	-0.0317301920476489
"382"	13	"WALKING_UPSTAIRS"	-0.0356040924471429
"383"	18	"WALKING_UPSTAIRS"	-0.0600142965341758
"384"	20	"WALKING_UPSTAIRS"	-0.0515985878679096
"385"	24	"WALKING_UPSTAIRS"	-0.0393064941829396
"386"	25	"LAYING"	-0.80127529358209
"387"	26	"LAYING"	-0.798540280459184
"388"	27	"LAYING"	-0.800267169175532
"389"	28	"LAYING"	-0.785145985636126
"390"	29	"LAYING"	-0.775104824512209
"391"	30	"LAYING"	-0.779751596590078
"392"	8	"SITTING"	-0.784846550888268
"393"	11	"SITTING"	-0.783619312468354
"394"	14	"SITTING"	-0.788385731176471
"395"	15	"SITTING"	-0.785916716268293
"396"	16	"SITTING"	-0.786249887519126
"397"	17	"SITTING"	-0.781393760641509
"398"	17	"STANDING"	-0.774546737184466
"399"	19	"STANDING"	-0.775212112638889
"400"	21	"STANDING"	-0.783709315563725
"401"	22	"STANDING"	-0.796330336666667
"402"	23	"STANDING"	-0.786193096155914
"403"	25	"STANDING"	-0.790243935175439
"404"	2	"WALKING"	-0.334609031350993
"405"	4	"WALKING"	-0.326404870826183
"406"	9	"WALKING"	-0.31500915388125
"407"	10	"WALKING"	-0.30328792575534
"408"	12	"WALKING"	-0.335401556465844
"409"	13	"WALKING"	-0.341496762825871
"410"	1	"WALKING_DOWNSTAIRS"	-0.2583206375
"411"	3	"WALKING_DOWNSTAIRS"	-0.263991004680762
"412"	5	"WALKING_DOWNSTAIRS"	-0.24647225525298
"413"	6	"WALKING_DOWNSTAIRS"	-0.265655902219877
"414"	7	"WALKING_DOWNSTAIRS"	-0.269951141462013
"415"	8	"WALKING_DOWNSTAIRS"	-0.289997874754902
"416"	1	"WALKING_UPSTAIRS"	-0.276327310403448
"417"	13	"WALKING_UPSTAIRS"	-0.285237621250794
"418"	18	"WALKING_UPSTAIRS"	-0.314882306697802
"419"	20	"WALKING_UPSTAIRS"	-0.311502061564124
"420"	24	"WALKING_UPSTAIRS"	-0.22345986755643
"421"	25	"LAYING"	0.818101449104478
"422"	26	"LAYING"	0.811564978007653
"423"	27	"LAYING"	0.812102386220745
"424"	28	"LAYING"	0.798219227772513
"425"	29	"LAYING"	0.799580649883721
"426"	30	"LAYING"	0.810236754083551
"427"	8	"SITTING"	0.831382501005587
"428"	11	"SITTING"	0.834040472594937
"429"	14	"SITTING"	0.833652906625387
"430"	15	"SITTING"	0.828156225731707
"431"	16	"SITTING"	0.830385573907104
"432"	17	"SITTING"	0.829018867509434
"433"	17	"STANDING"	0.824025383009709
"434"	19	"STANDING"	0.822051948583333
"435"	21	"STANDING"	0.830290478039216
"436"	22	"STANDING"	0.840600660280374
"437"	23	"STANDING"	0.832570498682796
"438"	25	"STANDING"	0.833271795964912
"439"	2	"WALKING"	0.236054281672185
"440"	4	"WALKING"	0.21101145861388
"441"	9	"WALKING"	0.220495970689583
"442"	10	"WALKING"	0.206043876254422
"443"	12	"WALKING"	0.250828422780937
"444"	13	"WALKING"	0.25640157379204
"445"	1	"WALKING_DOWNSTAIRS"	0.0140187774821429
"446"	3	"WALKING_DOWNSTAIRS"	0.080835116493871
"447"	5	"WALKING_DOWNSTAIRS"	0.0294608222419205
"448"	6	"WALKING_DOWNSTAIRS"	0.0228861878686154
"449"	7	"WALKING_DOWNSTAIRS"	0.0359605794288961
"450"	8	"WALKING_DOWNSTAIRS"	0.0554579100784314
"451"	1	"WALKING_UPSTAIRS"	0.177296785930094
"452"	13	"WALKING_UPSTAIRS"	0.184716962879365
"453"	18	"WALKING_UPSTAIRS"	0.219188107035714
"454"	20	"WALKING_UPSTAIRS"	0.256280304214689
"455"	24	"WALKING_UPSTAIRS"	0.197110443642257
"456"	25	"LAYING"	0.667183897761194
"457"	26	"LAYING"	0.675208251505102
"458"	27	"LAYING"	0.675014512260638
"459"	28	"LAYING"	0.665152589481675
"460"	29	"LAYING"	0.662944450407849
"461"	30	"LAYING"	0.656903556770235
"462"	8	"SITTING"	0.672967188156425
"463"	11	"SITTING"	0.670416349493671
"464"	14	"SITTING"	0.667362199380805
"465"	15	"SITTING"	0.670921974969512
"466"	16	"SITTING"	0.675129025737705
"467"	17	"SITTING"	0.673080362226415
"468"	17	"STANDING"	0.659258635436893
"469"	19	"STANDING"	0.660752723888889
"470"	21	"STANDING"	0.661289836176471
"471"	22	"STANDING"	0.67153833305296
"472"	23	"STANDING"	0.663035173951613
"473"	25	"STANDING"	0.657723615672515
"474"	2	"WALKING"	0.0724589597377483
"475"	4	"WALKING"	0.0634541548208202
"476"	9	"WALKING"	0.0751270144061111
"477"	10	"WALKING"	0.093436141372619
"478"	12	"WALKING"	0.054819611213625
"479"	13	"WALKING"	0.0901747609497015
"480"	1	"WALKING_DOWNSTAIRS"	-0.0834245701071429
"481"	3	"WALKING_DOWNSTAIRS"	-0.0547211776240762
"482"	5	"WALKING_DOWNSTAIRS"	-0.0365088024798013
"483"	6	"WALKING_DOWNSTAIRS"	-0.0220485768838646
"484"	7	"WALKING_DOWNSTAIRS"	-0.0139558916672078
"485"	8	"WALKING_DOWNSTAIRS"	-0.00492944965392157
"486"	1	"WALKING_UPSTAIRS"	0.0925886220445141
"487"	13	"WALKING_UPSTAIRS"	0.0746297866238095
"488"	18	"WALKING_UPSTAIRS"	0.104362653349368
"489"	20	"WALKING_UPSTAIRS"	0.140894667510169
"490"	24	"WALKING_UPSTAIRS"	0.129119839975853
"491"	25	"LAYING"	0.825293218059701
"492"	26	"LAYING"	0.827090467576531
"493"	27	"LAYING"	0.827582146489362
"494"	28	"LAYING"	0.813991829219895
"495"	29	"LAYING"	0.819944931395349
"496"	30	"LAYING"	0.814416923655352
"497"	8	"SITTING"	0.826195760726257
"498"	11	"SITTING"	0.815055015126582
"499"	14	"SITTING"	0.819223483250774
"500"	15	"SITTING"	0.818809383320122
"501"	16	"SITTING"	0.819855676994536
"502"	17	"SITTING"	0.820371637849057
"503"	17	"STANDING"	0.815801299902913
"504"	19	"STANDING"	0.808197408216667
"505"	21	"STANDING"	0.815355168627451
"506"	22	"STANDING"	0.829401259595016
"507"	23	"STANDING"	0.82325733266129
"508"	25	"STANDING"	0.81540203248538
"509"	2	"WALKING"	0.360755149046358
"510"	4	"WALKING"	0.344620886572871
"511"	9	"WALKING"	0.354440373054514
"512"	10	"WALKING"	0.400783172660204
"513"	12	"WALKING"	0.412135975275
"514"	13	"WALKING"	0.394102994761194
"515"	1	"WALKING_DOWNSTAIRS"	0.298022563607143
"516"	3	"WALKING_DOWNSTAIRS"	0.206279096729619
"517"	5	"WALKING_DOWNSTAIRS"	0.261011676103974
"518"	6	"WALKING_DOWNSTAIRS"	0.262526184077846
"519"	7	"WALKING_DOWNSTAIRS"	0.230962204145779
"520"	8	"WALKING_DOWNSTAIRS"	0.187007221923725
"521"	1	"WALKING_UPSTAIRS"	0.356550077360502
"522"	13	"WALKING_UPSTAIRS"	0.376018552006349
"523"	18	"WALKING_UPSTAIRS"	0.420360604577747
"524"	20	"WALKING_UPSTAIRS"	0.335652767856497
"525"	24	"WALKING_UPSTAIRS"	0.349422914973753
"526"	25	"LAYING"	-0.964852952089552
"527"	26	"LAYING"	-0.961361049255612
"528"	27	"LAYING"	-0.96217698837766
"529"	28	"LAYING"	-0.925772294180628
"530"	29	"LAYING"	-0.918135527148256
"531"	30	"LAYING"	-0.929727520756397
"532"	8	"SITTING"	-0.957770292458101
"533"	11	"SITTING"	-0.956028553322785
"534"	14	"SITTING"	-0.957860115882353
"535"	15	"SITTING"	-0.955844239789634
"536"	16	"SITTING"	-0.95091138568306
"537"	17	"SITTING"	-0.948564568641509
"538"	17	"STANDING"	-0.951137264271845
"539"	19	"STANDING"	-0.944923850527778
"540"	21	"STANDING"	-0.951468328382353
"541"	22	"STANDING"	-0.969423106386293
"542"	23	"STANDING"	-0.956470674274194
"543"	25	"STANDING"	-0.955802424210526
"544"	2	"WALKING"	-0.151279824053079
"545"	4	"WALKING"	-0.162006987123975
"546"	9	"WALKING"	-0.165824417547222
"547"	10	"WALKING"	-0.176290201093197
"548"	12	"WALKING"	-0.197096608122187
"549"	13	"WALKING"	-0.17803207469204
"550"	1	"WALKING_DOWNSTAIRS"	0.08861003455
"551"	3	"WALKING_DOWNSTAIRS"	0.0710504587017595
"552"	5	"WALKING_DOWNSTAIRS"	0.0850626427080132
"553"	6	"WALKING_DOWNSTAIRS"	0.07471976382312
"554"	7	"WALKING_DOWNSTAIRS"	0.0877351710143182
"555"	8	"WALKING_DOWNSTAIRS"	0.0811476003715686
"556"	1	"WALKING_UPSTAIRS"	-0.0828942380296552
"557"	13	"WALKING_UPSTAIRS"	-0.0807953323642857
"558"	18	"WALKING_UPSTAIRS"	-0.113350592042033
